Relative Time	Peak at 1100	Peak at 1125	Peak at 1650	Annotations
01:56:56	-0.00853346	-0.000580924	0.00235476	
01:57:26	-0.0066765	-0.000577699	-2.77617e-06	
01:57:56	-0.00789075	-0.00417815	-0.0030122	
01:58:26	-0.0139572	-0.00498143	-0.0111752	
01:58:56	-0.0129185	-0.000371932	-0.01681	
01:59:26	-0.0143721	-0.00192816	-0.000449418	
01:59:56	-0.00882356	-0.00435915	-0.0129116	
02:00:26	-0.0112796	-0.00118968	-0.00817613	
02:00:56	-0.0126935	-0.0021733	-0.0147075	
02:01:26	-0.0103456	-0.00176778	-0.0239137	
02:01:56	-0.0126374	-0.00232056	-0.00750673	
02:02:26	-0.0165117	-0.000498262	-0.00621048	
02:02:56	-0.0181083	-0.00189868	-0.00179108	
02:03:26	-0.013065	-0.00375524	-0.0179828	
02:03:56	-0.0107575	-0.0027185	-0.00136865	
02:04:26	0.00109611	0.0126004	-0.00018604	
02:04:56	0.0364891	0.0519126	0.0255529	
02:05:26	0.0365345	0.0507624	0.03863	
02:05:56	0.00679649	0.0123505	0.00375718	
02:06:26	-0.00771136	0.00127706	0.00658616	
02:06:56	-0.00767538	-0.00136168	-0.014195	
02:07:26	-0.0172259	-0.00544231	-0.00129062	
02:07:56	-0.0139234	-0.00361653	-0.00214611	
02:08:26	-0.016542	-0.00402284	0.000273795	
02:08:56	-0.00918353	-0.00144291	-0.00488439	
02:09:26	-0.0109968	-0.0034571	-0.00567011	
02:09:56	-0.0154875	-0.00283075	-0.00841324	
02:10:26	-0.017909	-0.000599853	-0.0161253	
02:10:56	-0.0177704	-0.000459555	-0.00219239	
02:11:26	-0.00826261	-0.00242509	-0.00529812	
02:11:56	-0.011135	-0.00216873	-0.0144554	
02:12:26	-0.0114993	0.00028531	-0.00235576	
02:12:56	-0.00926487	-0.0021205	-0.00945499	
02:13:26	-0.0139877	-0.00191914	-0.0137709	
02:13:56	-0.0122604	0.00111468	-0.0108638	
02:14:26	-0.0134844	-0.00366501	-0.00492758	
02:14:56	-0.0110738	0.00179075	-0.00874165	
02:15:26	-0.00692079	-0.000460145	-0.00453375	
02:15:56	-0.0123793	-0.00130695	-0.00631179	
02:16:26	-0.0144734	-0.000788532	-0.0145358	
02:16:56	-0.0118453	0.00013097	-0.00816915	
02:17:26	-0.0107463	-0.000730558	-0.00150692	
02:17:56	-0.0205864	-0.00265255	0.00481641	
02:18:26	-0.0137124	0.000359212	-0.0043067	
02:18:56	-0.00886728	-0.000997924	-0.00446795	
02:19:26	-0.0151124	-0.00135565	-0.0139655	
02:19:56	-0.0132436	-0.000111963	-0.0161418	
02:20:26	-0.0133115	-0.00407349	-0.00361523	
02:20:55	-0.00845165	-0.00209195	-0.00944241	
02:21:26	-0.0120497	-0.00028181	-0.00777482	
02:21:56	0.00117756	0.0132791	0.00207082	
02:22:27	0.0398011	0.0464771	0.0564125	
02:22:56	0.0265841	0.028444	0.0137573	
02:23:26	-0.0071782	0.00613462	-0.0166218	
02:23:56	-0.0123504	0.00110182	-0.0096476	
02:24:26	-0.0124061	-8.54498e-05	-0.0156717	
02:24:56	-0.00989974	0.000918727	-0.0100859	
02:25:26	-0.015103	0.000747391	-0.0125625	
02:25:56	-0.00991396	-0.000746014	-0.00487109	
02:26:26	-0.0122035	-0.000210739	-0.0118395	
02:26:56	-0.0113697	-0.00357277	-0.00762351	
02:27:26	-0.0109689	-0.000144745	-0.00717819	
02:27:56	-0.020226	5.21931e-05	-0.00561339	
02:28:26	-0.0151824	0.000768924	-0.0163498	
02:28:56	-0.0135404	-0.00186543	-0.00615017	
02:29:26	-0.0125143	-0.000328202	-0.0134786	
02:29:56	-0.0117998	-0.00189223	-0.000961606	
02:30:26	-0.00926165	5.75985e-05	-0.00889467	
02:30:56	-0.00966373	0.00265545	-0.0182102	
02:31:26	-0.0108614	0.000876602	-0.00882731	
02:31:56	-0.013124	-0.00375562	-0.0131542	
02:32:26	-0.0112699	-0.00175225	-0.00896143	
02:32:56	-0.0149529	-0.000792438	-0.0145133	
02:33:26	-0.0113838	0.00243839	-0.0143735	
02:33:55	-0.0171075	-0.0038556	-0.00827482	
02:34:26	-0.013772	-0.00271509	-0.00164575	
02:34:56	-0.0104185	-0.00285406	-0.00908437	
02:35:26	-0.0113702	-0.000991078	-0.00146959	
02:35:56	-0.00798933	-0.00252818	-0.00875555	
02:36:26	-0.0115592	0.000128019	-0.0165971	
02:36:56	-0.0147373	0.00187425	-0.014711	
02:37:26	-0.0159439	0.000156979	-0.0137379	
02:37:56	-0.0143254	-0.00142205	-0.00279867	
02:38:26	-0.01852	-0.00792047	-0.0112466	
02:38:56	-0.00808687	0.000535366	-0.0113472	
02:39:26	0.00394666	0.00689476	-0.00487799	
02:39:56	0.033044	0.0297843	0.0440735	
02:40:26	0.0156957	0.0131037	0.0157079	
02:40:56	-0.00815044	0.00163665	0.00770538	
02:41:26	-0.0096187	-0.00314693	-0.00104302	
02:41:56	-0.00830458	-0.00131058	-0.00866838	
02:42:26	-0.0141088	-0.00291796	-0.00483139	
02:42:56	-0.0128325	-0.00699497	-0.00660012	
02:43:26	-0.0100862	-0.00372635	-0.0113662	
02:43:56	-0.00866004	-0.00317973	-0.00717913	
02:44:26	-0.0109876	-0.00034648	0.000501159	
02:44:56	-0.0129643	-0.000362352	-0.0102563	
02:45:26	-0.00747098	0.000179966	-0.00389891	
02:45:56	-0.00654721	-7.81322e-05	-0.00475405	
02:46:26	-0.0167733	-0.00212009	-0.00642019	
02:46:56	-0.016595	0.000917686	-0.00950542	
02:47:26	-0.0133402	-0.00158425	-0.00685476	
02:47:56	-0.0129393	-0.00131059	-0.016789	
