Relative Time	Peak at 1591 cm-1	Annotations
03:35:41	0.0108179	
03:35:56	0.0094467	
03:36:11	0.0258368	
03:36:25	0.0276725	
03:36:41	0.0243503	
03:36:56	0.0271519	
03:37:11	0.0256466	
03:37:26	0.0232724	
03:37:40	0.0254069	
03:37:54	0.0264191	
03:38:10	0.024227	
03:38:25	0.026766	
03:38:41	0.0238322	
03:38:56	0.0233571	
03:39:11	0.0257337	
03:39:26	0.0242914	
03:39:41	0.00747098	
03:39:56	0.00663999	
03:40:10	0.0100635	
03:40:26	0.0101785	
03:40:41	0.00857121	
03:40:56	0.0087781	
03:41:11	0.0109825	
03:41:26	0.00983527	
03:41:41	0.0111909	
03:41:56	0.0100295	
03:42:11	0.0115689	
03:42:26	0.00857228	
03:42:41	0.0118101	
03:42:56	0.0106243	
03:43:11	0.0116442	
03:43:26	0.0111754	
03:43:41	0.0413949	
03:43:56	0.149068	
03:44:11	0.129393	
03:44:26	0.0693873	
03:44:41	0.066015	
03:44:56	0.0624006	
03:45:11	0.0653977	
03:45:26	0.0606141	
03:45:41	0.0611942	
03:45:56	0.061208	
03:46:11	0.0576889	
03:46:26	0.0588968	
03:46:41	0.0604673	
03:46:56	0.0602455	
03:47:11	0.0532833	
03:47:25	0.0152224	
03:47:41	0.0116169	
03:47:55	0.0078702	
03:48:10	0.00970244	
03:48:26	0.0117341	
03:48:41	0.0102463	
03:48:56	0.0109676	
03:49:11	0.010416	
03:49:26	0.00784911	
03:49:41	0.0121465	
03:49:56	0.0114803	
03:50:10	0.0111372	
03:50:25	0.0143095	
03:50:41	0.0102922	
03:50:56	0.0118103	
03:51:11	0.0113036	
03:51:26	0.0121769	
03:51:41	0.11767	
03:51:55	0.125943	
03:52:11	0.085666	
03:52:25	0.0806668	
03:52:41	0.0844519	
03:52:56	0.0863102	
03:53:11	0.0820317	
03:53:26	0.0862037	
03:53:41	0.086229	
03:53:56	0.0807586	
03:54:11	0.0818237	
03:54:26	0.0863377	
03:54:41	0.0793046	
03:54:56	0.0691361	
03:55:11	0.0168104	
03:55:26	0.0137048	
03:55:40	0.0155236	
03:55:55	0.0125614	
03:56:10	0.0125762	
03:56:26	0.0119657	
03:56:41	0.0131942	
03:56:56	0.00853879	
03:57:10	0.0149832	
03:57:25	0.01537	
03:57:40	0.0106586	
03:57:56	0.0141769	
03:58:11	0.00983428	
03:58:26	0.0123136	
03:58:41	0.0114358	
03:58:55	0.013275	
03:59:11	0.0137042	
03:59:25	0.0124336	
03:59:41	0.0825423	
03:59:56	0.110308	
04:00:11	0.0830491	
04:00:25	0.0772478	
04:00:41	0.0789101	
04:00:56	0.0757862	
04:01:11	0.0764643	
04:01:26	0.0773017	
04:01:41	0.0802148	
04:01:56	0.0741743	
04:02:11	0.0753482	
04:02:26	0.0720397	
04:02:41	0.0734926	
04:02:56	0.0495285	
04:03:11	0.0142631	
04:03:26	0.0111259	
04:03:41	0.0117436	
04:03:56	0.0148888	
04:04:11	0.0124981	
04:04:26	0.00919374	
04:04:41	0.0112713	
04:04:56	0.00949581	
04:05:10	0.010482	
04:05:25	0.0101098	
04:05:40	0.0114121	
04:05:55	0.0129179	
04:06:11	0.0117535	
04:06:26	0.0135449	
04:06:40	0.0119769	
04:06:55	0.0151753	
04:07:11	0.0121249	
04:07:26	0.0939513	
04:07:41	0.0923378	
04:07:56	0.0764064	
04:08:10	0.0679728	
04:08:26	0.0657731	
04:08:41	0.0663098	
04:08:56	0.0658199	
04:09:11	0.0656478	
04:09:26	0.067199	
04:09:41	0.0651828	
04:09:56	0.0624861	
04:10:11	0.0633001	
04:10:26	0.0619114	
04:10:41	0.0486283	
04:10:56	0.0124295	
04:11:11	0.0096804	
04:11:26	0.0109669	
04:11:39	0.0129033	
04:11:56	0.00929759	
04:12:11	0.0106597	
04:12:26	0.0114463	
04:12:41	0.0152442	
04:12:56	0.0110439	
04:13:11	0.0078556	
04:13:26	0.00837042	
04:13:41	0.0115413	
04:13:56	0.0103751	
04:14:11	0.0142265	
04:14:26	0.0154298	
04:14:41	0.0141293	
04:14:56	0.0151133	
04:15:11	0.0730251	
04:15:26	0.0864746	
04:15:41	0.0618676	
04:15:56	0.0596371	
04:16:11	0.0607433	
04:16:26	0.0595194	
04:16:41	0.0584216	
04:16:56	0.0580688	
04:17:11	0.055115	
04:17:26	0.0558579	
04:17:41	0.0566403	
04:17:56	0.0565099	
04:18:11	0.0564424	
04:18:26	0.0570429	
04:18:41	0.0125012	
04:18:56	0.0119921	
04:19:11	0.0114231	
04:19:26	0.0140783	
04:19:40	0.0114695	
04:19:56	0.0131241	
04:20:11	0.0140712	
04:20:26	0.0128468	
04:20:41	0.0134312	
04:20:56	0.0121458	
04:21:10	0.0103235	
04:21:26	0.0116366	
04:21:41	0.0137852	
04:21:55	0.0148003	
04:22:10	0.0117288	
04:22:25	0.0130969	
04:22:40	0.014532	
04:22:56	0.0603085	
04:23:11	0.0716428	
04:23:26	0.0527605	
04:23:41	0.0483022	
04:23:56	0.0495787	
04:24:11	0.0533049	
04:24:26	0.0518479	
04:24:41	0.0513901	
04:24:56	0.0487193	
04:25:10	0.0479835	
04:25:26	0.0503464	
04:25:41	0.0467849	
04:25:56	0.0483975	
04:26:11	0.0169307	
04:26:26	0.0132891	
04:26:41	0.0118067	
04:26:55	0.0126987	
04:27:10	0.0138703	
04:27:26	0.0148094	
04:27:41	0.0100565	
04:27:56	0.0138896	
04:28:11	0.0167515	
04:28:26	0.0141155	
04:28:41	0.0137632	
04:28:55	0.0114059	
04:29:10	0.0125261	
04:29:26	0.0112843	
04:29:41	0.0130624	
04:29:56	0.0140196	
04:30:11	0.0158377	
04:30:26	0.016043	
04:30:41	0.0591078	
04:30:56	0.0583904	
04:31:11	0.0453423	
04:31:26	0.0397452	
04:31:41	0.0393889	
04:31:56	0.0441631	
04:32:11	0.0414616	
04:32:26	0.0390104	
04:32:41	0.0419389	
04:32:56	0.041912	
04:33:10	0.042902	
04:33:26	0.0386452	
04:33:40	0.0402194	
04:33:55	0.0160488	
04:34:10	0.0109286	
04:34:25	0.0101057	
04:34:41	0.0132063	
04:34:56	0.0119063	
04:35:11	0.0122467	
04:35:26	0.0100486	
04:35:41	0.00948969	
04:35:56	0.0101209	
04:36:11	0.0144273	
04:36:26	0.0113451	
04:36:40	0.0161256	
04:36:56	0.0152229	
04:37:11	0.0123348	
04:37:26	0.0147738	
04:37:40	0.0163954	
04:37:55	0.0109282	
04:38:10	0.0131889	
04:38:26	0.0430271	
04:38:41	0.047283	
04:38:56	0.0339935	
04:39:11	0.0359732	
04:39:26	0.0348687	
04:39:41	0.0319663	
04:39:56	0.034667	
04:40:11	0.0355148	
04:40:26	0.0306166	
04:40:41	0.0325617	
04:40:56	0.0328057	
04:41:11	0.0360138	
04:41:26	0.0327355	
04:41:40	0.0252478	
04:41:56	0.00968016	
04:42:11	0.0134737	
04:42:26	0.0114644	
04:42:41	0.0102132	
04:42:56	0.0141511	
04:43:11	0.0151751	
04:43:25	0.0129451	
04:43:41	0.0110261	
04:43:56	0.0087422	
04:44:11	0.0123127	
04:44:25	0.0128605	
04:44:40	0.0139432	
04:44:56	0.0145014	
04:45:11	0.0127714	
04:45:26	0.0107387	
04:45:40	0.0147787	
04:45:55	0.0104831	
04:46:10	0.0228163	
04:46:26	0.0313773	
04:46:41	0.025126	
04:46:56	0.0271264	
04:47:10	0.0270222	
04:47:26	0.0276113	
04:47:41	0.0219196	
04:47:56	0.0254826	
04:48:11	0.0260301	
04:48:26	0.0254147	
04:48:41	0.0237017	
04:48:56	0.02392	
04:49:11	0.0260727	
04:49:25	0.0209486	
04:49:40	0.0260902	
04:49:55	0.0144299	
04:50:11	0.0102352	
04:50:25	0.0117993	
04:50:41	0.0131637	
04:50:56	0.0102774	
04:51:11	0.0189198	
04:51:26	0.0107165	
04:51:40	0.0110933	
04:51:56	0.00912157	
04:52:10	0.0115012	
04:52:26	0.0122889	
04:52:41	0.0130045	
04:52:55	0.0136252	
04:53:11	0.0148736	
04:53:26	0.00986275	
04:53:41	0.0138128	
04:53:56	0.0132172	
04:54:11	0.0542161	
04:54:26	0.144151	
04:54:41	0.133266	
04:54:56	0.104136	
04:55:11	0.101177	
04:55:26	0.103586	
04:55:41	0.0986059	
04:55:56	0.102009	
04:56:11	0.100758	
04:56:26	0.0986547	
04:56:41	0.101208	
04:56:56	0.0950345	
04:57:11	0.102947	
04:57:26	0.0849065	
04:57:41	0.0257039	
04:57:56	0.018067	
04:58:11	0.0173898	
04:58:26	0.0162872	
04:58:41	0.0179153	
04:58:56	0.0142966	
04:59:11	0.0144118	
04:59:26	0.0173499	
04:59:41	0.0168653	
04:59:56	0.018972	
05:00:11	0.0192485	
05:00:26	0.0181986	
05:00:41	0.0134536	
05:00:56	0.0156753	
05:01:11	0.0130501	
05:01:25	0.0196136	
05:01:41	0.0195782	
05:01:56	0.0505405	
05:02:11	0.132023	
05:02:26	0.119961	
05:02:40	0.0923418	
05:02:56	0.0953148	
05:03:11	0.0938532	
05:03:26	0.0899901	
05:03:41	0.0915004	
05:03:56	0.0883063	
05:04:10	0.0898804	
05:04:25	0.089667	
05:04:40	0.0887243	
05:04:55	0.087694	
05:05:10	0.0746519	
05:05:26	0.0192812	
05:05:41	0.013706	
05:05:56	0.015264	
05:06:11	0.0138908	
05:06:26	0.0144287	
05:06:41	0.0126144	
05:06:56	0.0123629	
05:07:11	0.0130188	
05:07:25	0.0167284	
05:07:41	0.0158373	
05:07:55	0.0167955	
05:08:11	0.0161278	
05:08:26	0.0159398	
05:08:41	0.0139645	
05:08:55	0.0160762	
05:09:11	0.0133715	
05:09:26	0.0168509	
05:09:41	0.0154082	
05:09:56	0.109455	
05:10:11	0.123421	
05:10:26	0.0859437	
05:10:41	0.0810303	
05:10:56	0.0816665	
05:11:11	0.0796835	
05:11:26	0.0811873	
05:11:41	0.0779564	
05:11:55	0.0730385	
05:12:11	0.0781967	
05:12:26	0.0747832	
05:12:41	0.0728095	
05:12:56	0.0713737	
05:13:11	0.0534036	
05:13:26	0.0153614	
05:13:41	0.0146661	
05:13:56	0.0140596	
05:14:11	0.0144771	
05:14:26	0.0138911	
05:14:41	0.0125025	
05:14:55	0.0155482	
05:15:11	0.0134705	
05:15:25	0.0140724	
05:15:41	0.0128393	
05:15:54	0.0134504	
05:16:11	0.0132802	
05:16:26	0.0190254	
05:16:41	0.0139833	
05:16:56	0.014191	
05:17:10	0.0120589	
05:17:26	0.0154815	
05:17:41	0.0907176	
05:17:56	0.106802	
05:18:11	0.0807185	
05:18:26	0.0729308	
05:18:41	0.0758685	
05:18:56	0.0731596	
05:19:10	0.0719276	
05:19:25	0.0762935	
05:19:40	0.0754111	
05:19:56	0.0759849	
05:20:11	0.0735982	
05:20:26	0.0722496	
05:20:41	0.0746295	
05:20:56	0.0742925	
05:21:10	0.0220435	
05:21:25	0.0162755	
05:21:41	0.0142516	
05:21:56	0.0161222	
05:22:10	0.0144729	
05:22:25	0.0140362	
05:22:40	0.0136495	
05:22:55	0.0151437	
05:23:10	0.0107399	
05:23:25	0.0133039	
05:23:41	0.0116593	
05:23:56	0.0162773	
05:24:11	0.0139768	
05:24:26	0.0164106	
05:24:41	0.0163156	
05:24:56	0.0127721	
05:25:10	0.0202835	
05:25:26	0.019653	
05:25:41	0.0826463	
05:25:56	0.0925609	
05:26:10	0.0650959	
05:26:25	0.0672577	
05:26:40	0.0670169	
05:26:56	0.0647372	
05:27:11	0.0681119	
05:27:26	0.0652929	
05:27:41	0.0672523	
05:27:56	0.0647723	
05:28:11	0.0629825	
05:28:25	0.0637554	
05:28:41	0.0627792	
05:28:56	0.0323085	
05:29:11	0.0165461	
05:29:26	0.0192336	
05:29:41	0.0147746	
05:29:55	0.010037	
05:30:11	0.015213	
05:30:25	0.0146002	
05:30:41	0.0135555	
05:30:56	0.0160034	
05:31:11	0.0163065	
05:31:26	0.0152509	
05:31:41	0.0162772	
05:31:56	0.0126606	
05:32:11	0.0161994	
05:32:26	0.0171254	
05:32:41	0.0167181	
05:32:56	0.0172182	
05:33:11	0.0133942	
05:33:26	0.0200074	
05:33:41	0.0703612	
05:33:54	0.0776351	
05:34:10	0.0531539	
05:34:25	0.0561099	
05:34:40	0.0582384	
05:34:56	0.0554385	
05:35:11	0.0574529	
05:35:26	0.0552706	
05:35:41	0.0549127	
05:35:56	0.0547907	
05:36:10	0.0552402	
05:36:26	0.0571955	
05:36:41	0.051907	
05:36:56	0.0236366	
05:37:10	0.0151245	
05:37:26	0.0168486	
05:37:41	0.0140005	
05:37:55	0.0137017	
05:38:11	0.0138457	
05:38:26	0.012176	
05:38:41	0.0143662	
05:38:56	0.0155205	
05:39:11	0.0157876	
05:39:26	0.011473	
05:39:41	0.0160637	
05:39:56	0.0144202	
05:40:11	0.0116362	
05:40:26	0.0138804	
05:40:41	0.0113422	
05:40:56	0.00960709	
05:41:11	0.014524	
05:41:26	0.0496117	
05:41:41	0.0621835	
05:41:55	0.0493008	
05:42:10	0.047341	
05:42:26	0.0469139	
05:42:40	0.0456699	
05:42:55	0.0473818	
05:43:11	0.0446414	
05:43:26	0.0413591	
05:43:41	0.0469145	
05:43:55	0.0443996	
05:44:11	0.0458323	
05:44:26	0.0438408	
05:44:41	0.0305759	
05:44:56	0.0126954	
05:45:11	0.0150381	
05:45:26	0.0109746	
05:45:41	0.0135027	
05:45:56	0.0152171	
05:46:11	0.00967436	
05:46:26	0.00879257	
05:46:41	0.0141275	
05:46:56	0.0113191	
05:47:11	0.0131386	
05:47:26	0.0135509	
05:47:41	0.0123095	
05:47:55	0.015177	
05:48:11	0.0152819	
05:48:26	0.0115497	
05:48:41	0.0147257	
05:48:56	0.0140556	
05:49:11	0.0492935	
05:49:25	0.0508211	
05:49:41	0.0381164	
05:49:56	0.0372617	
05:50:11	0.0392789	
05:50:26	0.0356964	
05:50:40	0.0393465	
05:50:55	0.0388674	
05:51:11	0.0390971	
05:51:26	0.0364146	
05:51:41	0.0348576	
05:51:56	0.0367995	
05:52:11	0.0353266	
05:52:25	0.0290686	
05:52:40	0.0122278	
05:52:56	0.0103425	
05:53:11	0.0131111	
05:53:26	0.0144063	
05:53:41	0.0147469	
05:53:56	0.0140729	
05:54:11	0.0132982	
