Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
01:37:25	-0.00361156	-0.0118955	0.0497978	0.0964728
01:37:56	0.00397791	0.0546123	0.0665173	0.120373
01:38:25	0.0954138	0.645114	0.42021	0.383774
01:38:56	0.242863	1.40174	1.06356	0.701089
01:39:26	0.192185	1.12848	0.884752	0.579335
01:39:56	0.105936	0.660731	0.52922	0.386409
01:40:26	0.0505215	0.312699	0.271459	0.227667
01:40:55	0.0219307	0.144412	0.154311	0.158321
01:41:26	0.0114387	0.0793658	0.105203	0.125467
01:41:56	-0.00133809	0.01828	0.0670477	0.0966578
01:42:26	0.00207085	-0.0109847	0.0515465	0.0750858
01:42:56	-0.00395413	-0.0162403	0.0514593	0.101682
01:43:26	-0.0052175	-0.0182124	0.0502203	0.0844085
01:43:56	-0.00280243	0.0188211	0.051699	0.0930578
01:44:26	0.0631828	0.425825	0.303984	0.271709
01:44:56	0.219753	1.18009	0.94046	0.576963
01:45:26	0.194857	1.03735	0.870302	0.512867
01:45:56	0.109315	0.614575	0.521446	0.348578
01:46:26	0.0492699	0.285087	0.263306	0.213501
01:46:56	0.02149	0.134939	0.149768	0.150221
01:47:26	0.0116429	0.076324	0.103594	0.122778
01:47:56	-0.000731441	0.011021	0.0608332	0.0979479
01:48:26	-0.00138241	-0.013436	0.0544394	0.0974265
01:48:55	-0.00347005	-0.0163287	0.0546153	0.0963959
01:49:25	-0.000751294	-0.0141316	0.0534605	0.0924536
01:49:55	0.009321	0.0873539	0.0901994	0.130015
01:50:25	0.124424	0.662741	0.553647	0.330889
01:50:55	0.218994	1.03527	0.936717	0.460666
01:51:26	0.142985	0.726962	0.658491	0.351731
01:51:56	0.0630846	0.355735	0.337075	0.223447
01:52:25	0.0305839	0.15954	0.178174	0.1461
01:52:56	0.0177445	0.0831115	0.117458	0.135648
01:53:26	0.00216761	0.0316506	0.0759868	0.114827
01:53:55	0.000424405	-0.00788541	0.0565704	0.0865473
01:54:26	-0.00492123	-0.0160477	0.0529965	0.101635
01:54:56	-0.00212783	-0.0159874	0.0533214	0.0947538
01:55:26	-0.000374853	0.00656899	0.0519251	0.114992
01:55:55	0.0448458	0.23648	0.217509	0.15682
01:56:26	0.190809	0.818719	0.81003	0.324656
01:56:55	0.178749	0.768991	0.778861	0.325219
01:57:26	0.0915337	0.426131	0.434724	0.231056
01:57:55	0.0385942	0.190098	0.22253	0.164286
01:58:26	0.0172799	0.094111	0.132819	0.118169
01:58:56	0.00526141	0.045755	0.089745	0.108455
01:59:25	0.00418182	-0.00488662	0.0584577	0.0921586
01:59:56	-0.00261652	-0.0176488	0.0523313	0.0889921
02:00:26	-0.000738298	-0.0146249	0.0503926	0.105689
02:00:56	-0.00620762	-0.0134012	0.0521187	0.0933044
02:01:26	0.00688019	0.0475358	0.0785753	0.103804
02:01:56	0.110049	0.411746	0.465983	0.177137
02:02:26	0.198495	0.703011	0.830701	0.220985
02:02:56	0.133447	0.508576	0.594455	0.194287
02:03:26	0.0526707	0.232417	0.281557	0.150148
02:03:56	0.022148	0.103774	0.156499	0.123466
02:04:26	0.0138593	0.0537436	0.104111	0.103643
02:04:56	0.00250239	0.00364574	0.0666963	0.098887
